"Scene_ID","Act","Slide_Number","Scene_Title","Location","Narration_Text","TTS_Pacing_s","Emotion_Tone","Transition_In","Transition_Out","FLUX_Image_Prompt","PuLID_Character_Guidance","Negative_Prompt","Camera_Framing","ACHC_Topic","Policy_Reference","Learning_Objective_ID","Compliance_Category","Operational_Workflow","Assessment_Linkage","Debrief_Linkage","Scenario_Type","Risk_Category","Escalation_Path","Documentation_Requirement","Patient_Safety_Impact","Survey_Risk","Reconciliation_Status","Slide_Type","Challenge_Question","Option_A","Option_B","Option_C","Option_D","Correct_Answer_Index","Correct_Answer_Label","Debrief_Text"
"M01-S34","Act 2","S34","Corrective Action and Coaching","HR follow-up meeting room","The rushed coworker receives a formal coaching session, increased supervision, and documentation requirements for a ninety-day period. After a second incident involving an interpreter shortcut, he is removed from direct patient assignments. The removal is not theatrical. It is a safety governance decision with a documented rationale. The module shows this clearly: accountability is not punishment theater. It is protection. It protects patients from repeated unsafe behavior. It protects the agency from survey liability. It protects the workforce from a team member whose shortcuts make everyone's documentation and credibility weaker.","58","Serious fair","Cut from leadership review","Cut to Marites reflection","Photorealistic documentary HR meeting scene with professional review and written corrective action documentation, neutral institutional tone, realistic office setting, 35mm lens.","No primary character lock — institutional process focus.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium formal two-shot","Corrective action processes; Accountability","Disciplinary Action Policy; HR SOP","LO4","Governance","Disciplinary documentation and role change","N/A","N/A","Outcome scene","Moderate","HR then Administrator","Disciplinary file, corrective action plan, role change documentation","Protects patients from repeated unsafe behavior","Moderate","Mapped","content","","","","","","","",""
"M01-S34-EC7","Act 2","S34-EC7","Educator Side Comment: Inclusion to Operations Bridge","HR follow-up meeting room","Notice how Marites turns observation into system improvement. Inclusion is not symbolic when it changes workflow. A competent clinician proposes process controls that can be audited, adopted, and repeated across the team.","32","Educator coaching","Soft instructional overlay","Return to narrative flow","Photorealistic documentary HR meeting scene with professional review and written corrective action documentation, neutral institutional tone, realistic office setting, 35mm lens.","No primary character lock — institutional process focus.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium formal two-shot","Operational judgment; Corrective action processes; Accountability","Disciplinary Action Policy; HR SOP","LO4","In-the-moment instruction","Team-level workflow improvement","N/A","N/A","educator commentary","Moderate","HR then Administrator","Disciplinary file, corrective action plan, role change documentation","Bridges narrative signal to safety decision making","Moderate","Mapped","educator-commentary","","","","","","","",""
"M01-S35","Act 2","S35","Marites Reflection Under Pressure","Exterior walkway — end of shift","Marites touches her bracelet after a long day. She did not win by being louder. She did not survive by staying silent. She stayed respectful, precise, and accountable. She reported what she saw. She documented what she did. She escalated when the situation required it. The bracelet reminds her: steady, not fast. Her grandmother was right. The patients who trusted her today did so because she did not rush — not through care, not through documentation, not through conflict. Professional resilience is not endurance. It is operational consistency under pressure.","52","Somber resolved","Cut from corrective action","Dissolve to Act 3 opening","Photorealistic documentary sunset exterior shot of nurse walking alone on outdoor walkway, hand touching woven bracelet, natural golden evening light, 35mm lens, quiet determined posture.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Bracelet close-up in golden light. Same consistent identity as S01.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium wide to bracelet close-up insert","Ethical behavior; Accountability; Professionalism","Code of Conduct; Resilience and Wellness Policy","LO5","Professional Identity","Reflective professionalism under pressure","N/A","N/A","Emotional narrative","Low","N/A","Optional reflective documentation entry","Sustained professional composure supports safe ongoing practice","Low","Mapped","content","","","","","","","",""
"M01-S36","Act 2","S36","Transition to Mastery","Driveway outside Mr. Henderson's home — next morning","Mr. Henderson's family has agreed to continue visits. Not because the grievance was closed. Because Marites showed up the next day, reviewed the corrected care plan, confirmed the medication schedule, and asked Mr. Henderson directly how he was doing. Trust is not repaired by speeches or apology emails. It is rebuilt through repeated defensible actions: clear communication, verified understanding, correct escalation, complete documentation. That is the only currency that actually transfers between visits.","50","Hopeful resolving","Dissolve from reflection","Soft cut to Act 3","Photorealistic documentary shot of nurse arriving at residential driveway in early morning light, composed and prepared posture, bracelet visible, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Same consistent identity. Subtle confidence versus early uncertainty in S17.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium wide — driveway and patient home exterior","Patient-centered care; Trust outcomes","Patient Engagement Policy; CLAS Outcomes","LO5","Professional Identity","Trust rebuilding through consistent defensible behavior","N/A","N/A","Narrative transition","Low","N/A","Document patient re-engagement and care plan continuation","Patient trust improves adherence and safety outcomes","Low","Mapped","content","","","","","","","",""
"M01-S37","Act 3","S37","Communication Adapted, Identity Preserved","Mr. Henderson living room — resumed visits","Marites adjusts her pace, confirms his preferred form of address, and validates his concerns before responding. She does not rush. She does not shorten what needs to be said. She adapts how she says it — not what she stands for. Mr. Henderson is more open than before. He asks a question. Then another. This is what communication adaptation produces: not agreement, but engagement. Not compliance, but trust. She does not lose herself to fit in. She translates herself so patients and colleagues can receive what she has always offered. Adapt style. Not safety requirements.","66","Hopeful steady","Soft dissolve from transition","Cut to interpreter workflow","Photorealistic documentary scene of nurse seated at eye level with elderly patient in living room, respectful adapted body language, soft natural daylight, documentary realism, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Mr. Henderson: consistent late 70s, modest living room continuity.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium seated two-shot — eye-level","Respectful communication; Dignity and respect; Cultural awareness","Patient Interaction Standards; CLAS Domain 2","LO5","Clinical Interaction","Adaptive communication with identity preservation","Final Assessment setup","Final Debrief","Recovery scenario","Moderate","Supervisor if trust barriers persist","Document patient preference-confirmation and adaptive response","Restores therapeutic trust and care plan adherence","Moderate","Mapped","content","","","","","","","",""
"M01-S38","Act 3","S38","Interpreter Workflow Executed Correctly","Living room — interpreter call active","Marites explains to Mr. Henderson before she places the call: I want to make sure this is clear and comfortable for you. I am bringing in qualified interpretation support for this teaching step — not because I doubt you, but because your care plan deserves the most accurate communication I can provide. He nods. She activates the interpreter, introduces the interpreter to Mr. Henderson, confirms his consent, and proceeds with structured insulin teaching. Teach-back follows. He repeats the dosage timing correctly. She documents the interpreter ID, the method, the date, the content taught, the comprehension result, and the follow-up plan. That note is now defensible.","62","Confident precise","Cut from adapted communication","Cut to trust rebuilt scene","Photorealistic documentary scene of nurse facilitating interpreter call with patient consent discussion in living room, realistic phone on table, natural light, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Bracelet and badge consistent. Patient present — relaxed more than prior scenes.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium over-shoulder","Interpreter services; Patient rights; Respectful communication","Interpreter Policy; Consent Policy; CLAS Standard 5","LO3|LO5","Compliance — Operational Success","Interpreter-mediated consent and teaching workflow","Final Assessment Task 2","Final Debrief","Operational success","High","Supervisor if service unavailable","Record interpreter ID, consent, comprehension result, content, follow-up","Prevents consent errors and ensures informed patient education","High","Mapped","content","","","","","","","",""
"M01-S38-EC8","Act 3","S38-EC8","Educator Side Comment: What Documentation Must Capture","Living room — interpreter call active","Key charting checkpoint. The record should capture interpreter ID, consent confirmation, what was taught, what the patient demonstrated in teach-back, and what follow-up was ordered. Without those fields, the visit may feel successful but remain non-defensible.","32","Educator coaching","Soft instructional overlay","Return to narrative flow","Photorealistic documentary scene of nurse facilitating interpreter call with patient consent discussion in living room, realistic phone on table, natural light, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Bracelet and badge consistent. Patient present — relaxed more than prior scenes.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium over-shoulder","Operational judgment; Interpreter services; Patient rights; Respectful communication","Interpreter Policy; Consent Policy; CLAS Standard 5","LO3|LO5","In-the-moment instruction","Interpreter and teach-back charting","Final Assessment Task 2","Final Debrief","educator commentary","High","Supervisor if service unavailable","Record interpreter ID, consent, comprehension result, content, follow-up","Bridges narrative signal to safety decision making","Moderate","Mapped","educator-commentary","","","","","","","",""
"M01-S39","Act 3","S39","Trust Rebuilt Through Clarity","Living room — close conversation","At the end of the visit, Mr. Henderson says something he has not said before: I understand now. Nobody explained it this clearly before. Marites does not say she is glad. She says: That is exactly what I was hoping for. The relationship has shifted. It did not shift because Marites worked harder or cared more. It shifted because she controlled the communication environment: she removed the barrier, verified the understanding, and documented it. The emotional payoff is here. And it is operational. Trust built through clear communication improves adherence, reduces preventable escalation, and makes every future visit safer for everyone involved.","54","Relief warm","Cut from interpreter scene","Cut to challenge 6 question","Photorealistic documentary close scene of nurse and elderly male patient sharing genuine eye contact after a successful clear explanation, natural warm light, authentic body language, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Mr. Henderson: relaxed, direct eye contact — full contrast to guarded first encounter.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Close two-shot — eye-level","Patient-centered care; Trust outcomes","Patient Engagement Policy; CLAS Outcomes","LO5","Clinical Outcome","Trust restoration through clear communication","Final Assessment setup","Final Debrief","Narrative payoff","Low","N/A","Document patient engagement improvement","Improves adherence and safety follow-through","Low","Mapped","content","","","","","","","",""
"M01-S40-Q","Act 3","S40-Q","Challenge 6: Integrated Workflow Sequencing — Question","Patient home — complex visit","Help Marites sequence the visit correctly. She has arrived at a new patient's home. The patient has limited English proficiency. The family is present and pushing her to begin teaching immediately. During the initial greeting, Marites notices the patient wince when she adjusts her position — a possible pain indicator that was not flagged in the pre-visit chart. She also has not yet confirmed language preference or activated interpretation. She has four options. What is the most defensible sequence for this visit? Option A: Assess the pain indicator immediately at bedside, confirm language preference and activate the qualified interpreter, explain the interpreter's role to the patient, deliver teach-back after teaching, document all findings and the interpreter ID, and escalate any unresolved clinical risk before leaving. Option B: Begin education immediately since the family is ready and the interpreter can be added if confusion appears during teaching. Option C: Escalate to your supervisor before any bedside clinical activity to avoid personal liability for unexpected findings. Option D: Build rapport with the patient first through casual conversation, and delay both the clinical assessment and the documentation until you feel the relationship is established.","62","Focused decisive","Cut from trust scene","Cut to challenge 6 debrief","Photorealistic documentary image of nurse arriving at new patient home — family present, patient visible in background with mild discomfort posture, nurse composedly assessing priorities, natural light, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Dynamic but realistic multi-task entry posture. Bracelet visible.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","POV decision frame — medium","Operational workflow; Communication barriers; Escalation","CLAS + Escalation + Documentation SOP","LO1|LO3|LO5","Assessment — Challenge 6","Integrated sequence challenge — pain, language, teaching, documentation","C6","D6","Branch challenge","High","Supervisor then DON as needed","Sequence-based documentation checklist completed","Prevents compounded communication and escalation errors","High","Mapped","challenge","Marites arrives at a new patient's home. The family is pushing her to begin teaching immediately. She notices the patient wince — a possible pain indicator not in the chart. Language preference has not been confirmed. What is the most defensible visit sequence?","Assess the pain indicator at bedside, confirm language preference and activate the qualified interpreter, deliver teach-back after teaching, document all findings and interpreter ID, and escalate any unresolved clinical risk.","Begin education immediately since the family is ready — add the interpreter only if confusion appears during teaching.","Escalate to your supervisor before any bedside clinical activity to avoid personal liability for unexpected findings.","Build rapport with the patient first through casual conversation and delay both the clinical assessment and documentation until the relationship is established.","0","A",""
"M01-S40-D","Act 3","S40-D","Challenge 6 Debrief: Right Steps, Right Order","Debrief card","Operational Case Review
1) Correct decision: Option A is correct because it preserves patient safety and workflow integrity under pressure.
2) Why correct: Assess the pain indicator at bedside, confirm language preference and activate the qualified interpreter, deliver teach-back after teaching, document all findings and interpreter ID, and escalate any unresolved clinical risk.
3) Incorrect option analysis:
- Option B risk: Begin education immediately since the family is ready — add the interpreter only if confusion appears during teaching.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
- Option C risk: Escalate to your supervisor before any bedside clinical activity to avoid personal liability for unexpected findings.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
- Option D risk: Build rapport with the patient first through casual conversation and delay both the clinical assessment and documentation until the relationship is established.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
4) Patient safety implications: uncontrolled communication barriers or delayed escalation can compound into harm.
5) Workflow implications: sequence matters; right actions in the wrong order still produce risk.
6) Documentation implications: chart objective findings, what was verified, what was escalated, and who received handoff.
7) Escalation implications: trigger supervisor pathway when unresolved clinical, communication, or conduct risk remains.
8) Survey implications: ACHC/CMS reviewers focus on evidence chain, not intent.
9) Operational consequences: unresolved gaps can lead to adverse events, corrective action, and loss of trust.
10) Disciplinary/legal/defensibility: omissions and unsupported charting increase disciplinary risk and weaken legal defense.

The correct answer is A. Defensible care is sequence-dependent. Right steps in the wrong order still produce risk. Option B begins education before the communication barrier is controlled and before a potential pain symptom is assessed. This creates two simultaneous gaps: unverified comprehension and an uninvestigated clinical finding. Teaching that proceeds before a pain indicator is assessed and before an interpreter is activated is not efficient — it is incomplete. Option C escalates before bedside assessment. This is premature escalation without clinical information. Your supervisor cannot make an informed clinical decision about an unassessed finding. Your job is to assess first, then escalate with findings. Option D delays both clinical assessment and documentation in favor of rapport building. Rapport matters. But an unassessed pain indicator and an uncontrolled language barrier do not wait for comfort. Option A is correct because it executes in the correct order: identify and respond to the clinical finding first, control the communication environment second, deliver and verify the teaching third, and close the visit with complete documentation and any necessary escalation. Sequence is not bureaucracy. Sequence is how you prevent compounded errors.","95","Operational case-review coaching","Answer reveal","Cut to independent shift prep","Photorealistic debrief image showing nurse with completed visit sequence checklist beside patient chart, realistic home setting, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Composed at end of correct visit sequence. Bracelet visible.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium close — nurse with checklist and chart","Operational workflow; Communication barriers; Escalation; Documentation","CLAS + Escalation + Documentation SOP; ACHC Clinical Standards","LO1|LO3|LO5","Debrief — Challenge 6","Correct integrated sequence — assessment before teaching, interpreter before content, escalation with findings","C6","D6","Challenge debrief","High","Supervisor → DON as needed","Sequence-based documentation: pain finding, interpreter ID, teach-back result, escalation","Prevents compounded errors from sequencing failures","High","Mapped","debrief","","","","","","","","Operational Case Review
1) Correct decision: Option A is correct because it preserves patient safety and workflow integrity under pressure.
2) Why correct: Assess the pain indicator at bedside, confirm language preference and activate the qualified interpreter, deliver teach-back after teaching, document all findings and interpreter ID, and escalate any unresolved clinical risk.
3) Incorrect option analysis:
- Option B risk: Begin education immediately since the family is ready — add the interpreter only if confusion appears during teaching.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
- Option C risk: Escalate to your supervisor before any bedside clinical activity to avoid personal liability for unexpected findings.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
- Option D risk: Build rapport with the patient first through casual conversation and delay both the clinical assessment and documentation until the relationship is established.. Looks reasonable under pressure, but creates a preventable documentation and escalation gap.
4) Patient safety implications: uncontrolled communication barriers or delayed escalation can compound into harm.
5) Workflow implications: sequence matters; right actions in the wrong order still produce risk.
6) Documentation implications: chart objective findings, what was verified, what was escalated, and who received handoff.
7) Escalation implications: trigger supervisor pathway when unresolved clinical, communication, or conduct risk remains.
8) Survey implications: ACHC/CMS reviewers focus on evidence chain, not intent.
9) Operational consequences: unresolved gaps can lead to adverse events, corrective action, and loss of trust.
10) Disciplinary/legal/defensibility: omissions and unsupported charting increase disciplinary risk and weaken legal defense.

The correct answer is A. Defensible care is sequence-dependent. Right steps in the wrong order still produce risk. Option B begins education before the communication barrier is controlled and before a potential pain symptom is assessed. This creates two simultaneous gaps: unverified comprehension and an uninvestigated clinical finding. Teaching that proceeds before a pain indicator is assessed and before an interpreter is activated is not efficient — it is incomplete. Option C escalates before bedside assessment. This is premature escalation without clinical information. Your supervisor cannot make an informed clinical decision about an unassessed finding. Your job is to assess first, then escalate with findings. Option D delays both clinical assessment and documentation in favor of rapport building. Rapport matters. But an unassessed pain indicator and an uncontrolled language barrier do not wait for comfort. Option A is correct because it executes in the correct order: identify and respond to the clinical finding first, control the communication environment second, deliver and verify the teaching third, and close the visit with complete documentation and any necessary escalation. Sequence is not bureaucracy. Sequence is how you prevent compounded errors."
"M01-S41","Act 3","S41","Independent Shift Preparation","Pre-shift chart station — agency office","The supervisor reviews Marites' chart performance over the past three weeks and confirms her for independent shift. She says: Not because you are perfect. Because when you face a hard decision, your reasoning is consistent, documented, and safe. You escalate when you should. You correct when you should. You do not guess when you can verify. That is what we need in the field. Marites nods. She thinks about her grandmother's bracelet and what it means to be steady. She is ready. Not invulnerable — ready.","50","Reassuring authoritative","Cut from challenge 6 debrief","Cut to final assessment simulation","Photorealistic documentary image of supervisor and nurse reviewing completed readiness checklist at workstation, calm professional tone, realistic office, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Supervisor: consistent from S26. Readiness confirmation posture.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium two-shot — side angle","Compliance obligations; Accountability","ACHC Cultural Competence Expectations; Readiness Certification","LO1|LO3","Debrief — Challenge 6","Integrated competency and readiness confirmation","C6","D6","Debrief narrative","High","Supervisor then DON","Completed readiness checklist and supervisor sign-off","Strengthens safe repeatable independent practice","High","Mapped","content","","","","","","","",""
"M01-S41-EC9","Act 3","S41-EC9","Educator Side Comment: Readiness Judgment","Pre-shift chart station — agency office","Readiness is operational, not emotional. A competent clinician is one whose decisions are consistently sequenced, escalated when needed, and documented with enough specificity that another clinician can safely continue care.","32","Educator coaching","Soft instructional overlay","Return to narrative flow","Photorealistic documentary image of supervisor and nurse reviewing completed readiness checklist at workstation, calm professional tone, realistic office, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Supervisor: consistent from S26. Readiness confirmation posture.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium two-shot — side angle","Operational judgment; Compliance obligations; Accountability","ACHC Cultural Competence Expectations; Readiness Certification","LO1|LO3","In-the-moment instruction","Independent shift readiness review","C6","D6","educator commentary","Moderate","Supervisor then DON","Completed readiness checklist and supervisor sign-off","Bridges narrative signal to safety decision making","Moderate","Mapped","educator-commentary","","","","","","","",""
"M01-S42","Act 3","S42","Final Assessment Q1: Barrier Prioritization","Simulation — pre-shift triage","Your final simulation begins. Marites is preparing for her first independent shift. She has three patients today. One has a documented language barrier. One has a pain management concern flagged by the prior clinician. One has a new wound assessment order. Before leaving the office, what is the most defensible pre-shift prioritization note? The correct answer explicitly identifies each patient's communication barrier, urgency marker, and escalation threshold — and documents them before departure. Proactive barrier identification reduces cognitive load at the door and prevents the visit from beginning with an uncontrolled communication gap.","48","High-focus","Simulation intro fade in","Cut to FA Q2","Photorealistic documentary pre-shift scene of nurse reviewing patient barrier flags on tablet with chart notes, morning light, realistic agency setting, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Final shift composure — bracelet visible, badge consistent.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium prep shot","Communication barriers; Cultural awareness; Operational prioritization","Daily Assignment Protocol; Pre-Visit Barrier SOP","LO3","Final Competency — Q1","Barrier prioritization before patient contact","FA-Q1","FA-Debrief","Simulation challenge","Moderate","Charge nurse if triage conflict","Pre-visit barrier note with language, urgency, and escalation threshold","Improves visit sequencing and patient safety","Moderate","Mapped","challenge","Pre-shift: three patients — one has a documented language barrier, one has a pain management concern flagged by the prior clinician, one has a new wound assessment order. What is the most defensible pre-shift prioritization note?","A note that explicitly identifies each patient's communication barrier, urgency marker, and escalation threshold — documented before departure.","A note listing all three patients with appointment times and addresses only.","A note documenting only the new wound order patient since that is the primary clinical task today.","A note deferring all barrier identification to point of care at each home visit.","0","A",""
"M01-S43","Act 3","S43","Final Assessment Q2: Complex Interaction","Simulation — high-stakes visit","Simulation continues. Marites is at her second patient's home. The family is present. The patient has limited English proficiency. While Marites is reviewing the care plan, the patient reports a new symptom — shortness of breath — that was not in the morning chart. The daughter offers to interpret. Select the complete response sequence that protects the patient's safety, activates the correct communication support, and maintains escalation integrity. The correct sequence: assess the new symptom at bedside first, activate the qualified interpreter before any clinical explanation, escalate the new symptom to the supervisor with your bedside finding, document the symptom, interpreter activation, and escalation rationale before leaving. Urgency does not cancel language access rights. Both travel together.","52","Tense competent","Cut from FA Q1","Cut to FA Q3","Photorealistic documentary home visit scene with nurse, patient, and family in realistic tension, natural indoor light, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Composed under complexity. Family member present — realistic mild pressure.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Wide to medium close","Communication barriers; Escalation/reporting; Patient rights","Escalation SOP; Interpreter SOP; Patient Rights Policy","LO3|LO5","Final Competency — Q2","Complex barrier navigation with urgency management","FA-Q2","FA-Debrief","Simulation challenge","High","Supervisor then DON if urgent","Document symptoms, interpreter status, escalation rationale, and patient response","Mitigates risk of delayed treatment and rights violation simultaneously","High","Mapped","challenge","Second patient: limited English, family offers to interpret, patient reports new shortness of breath not in the morning chart. What is the most defensible complete response sequence?","Assess the new symptom at bedside, activate the qualified interpreter, escalate the new symptom to the supervisor with your bedside finding, document the symptom, interpreter activation, and escalation rationale before leaving.","Accept family interpretation to move quickly given the new symptom, then escalate to the supervisor after teaching is complete.","Escalate to the supervisor before assessing the symptom — avoid taking on liability for an undocumented finding.","Complete the scheduled teaching first since the family is available, then assess the new symptom after education.","0","A",""
"M01-S44","Act 3","S44","Final Assessment Q3: Documentation Defensibility","Simulation — charting after visit","Simulation continues. After the complex visit, Marites needs to document. Select the most defensible charting entry from the options provided. The correct entry includes: objective clinical findings documented in specific, behavioral terms; the communication barrier identified by name and type; the interpreter ID, modality, and contact time; the teach-back result described as what the patient demonstrated, not what they agreed to; the escalation steps taken and the supervisor's response; and the follow-up plan for the next visit. Defensible documentation is not length. It is specificity, objectivity, completeness, and correct sequence — in that order.","48","Technical precise","Cut from FA Q2","Cut to FA Q4","Photorealistic documentary EHR documentation scene with nurse entering structured objective note fields, realistic interface glow, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Bracelet visible near keyboard. Deliberate documentation posture.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Over-shoulder close","Documentation expectations; Accountability","Documentation SOP; ACHC Survey Evidence Standards","LO3","Final Competency — Q3","Defensible charting pattern selection","FA-Q3","FA-Debrief","Simulation challenge","High","Supervisor and QA if discrepancy found","Complete structured note: findings, barrier, interpreter, teach-back, escalation, continuity","Protects care continuity and legal defensibility","High","Mapped","challenge","After the complex visit, you need to document. Which charting entry is the most defensible?","Objective clinical findings in specific behavioral terms; barrier identified by name and type; interpreter ID, modality, and contact time; teach-back result as what the patient demonstrated; escalation steps and supervisor response; follow-up plan.","Objective clinical findings and date only — interpreter information filed in a separate note to keep records organized.","Patient understood education — no barriers noted — interpreter was not needed for this visit.","A detailed narrative paragraph describing the visit without structured required fields.","0","A",""
"M01-S45","Act 3","S45","Final Assessment Q4: Dignity and Consent","Simulation — patient consent moment","Simulation continues. Marites is at her third patient's home. Before beginning wound care, she needs to confirm the patient's informed participation. The patient is elderly, English-proficient, and has not been given a full explanation of today's procedure in prior visits. Select the phrase sequence that preserves dignity, confirms understanding, and invites the patient's correction or refusal without creating pressure to agree. The correct answer validates the patient's perspective first, explains clearly what will happen and why, confirms what they understood, and explicitly invites them to stop or ask questions at any point. Consent is not a signature. It is a verified understanding that the patient reaches voluntarily and can revoke.","45","Empathic focused","Cut from FA Q3","Cut to FA Q5","Photorealistic documentary bedside consent conversation between nurse and elderly patient, respectful spacing and posture, warm natural light, 35mm lens.","Character anchor: Marites, Filipina, early 30s, tied-back dark hair, navy scrubs, woven bracelet left wrist, calm eyes, consistent badge and stethoscope. Patient: elderly, different from Mr. Henderson — new patient continuity for final assessment.","anime, cartoon, CGI, plastic skin, distorted hands, extra fingers, watermark, oversaturated HDR, fantasy lighting, stock-photo smile","Medium close two-shot","Patient rights; Dignity and respect; Respectful communication","Consent Policy; Rights Policy; CLAS Standard 2","LO5","Final Competency — Q4","Consent-first communication with dignity preservation","FA-Q4","FA-Debrief","Simulation challenge","High","Supervisor if refusal occurs","Consent confirmation and patient preference entry with teach-back result","Prevents coercive care risk and supports autonomous decision-making","High","Mapped","challenge","Before beginning wound care for a patient who has never had a full procedure explanation, which phrase sequence best preserves dignity and confirms informed participation?","Validate the patient's perspective, explain clearly what will happen and why, confirm what they understood, and explicitly invite them to stop or ask questions at any point.","Proceed with the wound care and explain as you go — asking permission slows the visit and makes patients more anxious.","Ask the patient to sign a consent form before you begin any procedure.","Reassure the patient that everything will be fine and begin the care — reassurance reduces anxiety better than explanation.","0","A",""
